"id","name","image_url","is_closed","url","review_count","categories","rating","coordinates__latitude","coordinates__longitude","transactions__001","transactions__002","transactions__003","price","location__address1","location__address2","location__address3","location__city","location__zip_code","location__country","location__state","location__display_address__001","location__display_address__002","location__display_address__003","phone","display_phone","distance"
"chef-luciano-chicago","Chef Luciano","https://s3-media3.fl.yelpcdn.com/bphoto/yqvZBsNo2ZqoSTyeN3nkmw/o.jpg","False","https://www.yelp.com/biz/chef-luciano-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","151","indpak,italian,cajun,","4","41.8526205","-87.6250488","delivery","pickup","","$$","49 E Cermak Rd","","","Chicago","60616","US","IL","49 E Cermak Rd","Chicago, IL 60616","","+13123260062","(312) 326-0062","945.655441479664"
"go-4-food-chicago","Go 4 Food","https://s3-media2.fl.yelpcdn.com/bphoto/ROyaDE4NWj3tzzrnKXjaGg/o.jpg","False","https://www.yelp.com/biz/go-4-food-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","593","chinese,seafood,asianfusion,","4","41.851085","-87.6326203","delivery","pickup","restaurant_reservation","$$","212 W 23rd St","null","","Chicago","60616","US","IL","212 W 23rd St","Chicago, IL 60616","","+13128428688","(312) 842-8688","610.451916260652"
"ricobenes-chicago-4","Ricobene's","https://s3-media2.fl.yelpcdn.com/bphoto/MgCp07DNOjqLGiLgICuZ7g/o.jpg","False","https://www.yelp.com/biz/ricobenes-chicago-4?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","639","italian,pizza,sandwiches,","4","41.84575","-87.63389","delivery","","","$","252 W 26th St","","","Chicago","60616","US","IL","252 W 26th St","Chicago, IL 60616","","+13122255555","(312) 225-5555","196.78723942617"
"bonchon-chicken-chicago","Bonchon Chicken","https://s3-media2.fl.yelpcdn.com/bphoto/fQnRvOEuJ_uJ0CVDt-WAdA/o.jpg","False","https://www.yelp.com/biz/bonchon-chicken-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","191","chicken_wings,korean,salad,","3.5","41.8536631865071","-87.6348391547799","delivery","pickup","","$$","2163 S China Pl","","null","Chicago","60616","US","IL","2163 S China Pl","Chicago, IL 60616","","+13128775832","(312) 877-5832","930.914975476306"
"strings-ramen-shop-chicago","Strings Ramen Shop","https://s3-media4.fl.yelpcdn.com/bphoto/t6KRK81AmBuCPwbLE9roqQ/o.jpg","False","https://www.yelp.com/biz/strings-ramen-shop-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","760","ramen,","3.5","41.853414","-87.633175","delivery","","","$$","2141 S Archer Ave","","","Chicago","60616","US","IL","2141 S Archer Ave","Chicago, IL 60616","","+13123743450","(312) 374-3450","873.3555326645159"
"stix-n-brix-wood-fired-pizza-chicago","Stix n Brix Wood Fired Pizza","https://s3-media2.fl.yelpcdn.com/bphoto/tuJ-OUWSgzYaw-YTxni-Fg/o.jpg","False","https://www.yelp.com/biz/stix-n-brix-wood-fired-pizza-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","18","pizza,","5","41.8347049","-87.632485","","","","$$","220 W 33rd","null","","Chicago","60616","US","IL","220 W 33rd","Chicago, IL 60616","","+13122650219","(312) 265-0219","1220.113728013908"
"snack-planet-chicago","Snack Planet","https://s3-media4.fl.yelpcdn.com/bphoto/kelTD09Iuvtzi91_Xvp5sQ/o.jpg","False","https://www.yelp.com/biz/snack-planet-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","32","chinese,","4.5","41.8550491333008","-87.6321868896484","delivery","pickup","","$","2002 S Wentworth","","","Chicago","60616","US","IL","2002 S Wentworth","Chicago, IL 60616","","+13128429390","(312) 842-9390","1045.8171204995078"
"do-eat-chicago","Do Eat","https://s3-media4.fl.yelpcdn.com/bphoto/Aso5XtLWNRJa2ZGUmb--Hw/o.jpg","False","https://www.yelp.com/biz/do-eat-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","74","korean,bbq,","4","41.83683","-87.6459","pickup","","","$$","3141 S Halsted St","","null","Chicago","60608","US","IL","3141 S Halsted St","Chicago, IL 60608","","+13125263938","(312) 526-3938","1543.757102977972"
"dolo-restaurant-and-bar-chicago-3","Dolo Restaurant and Bar","https://s3-media1.fl.yelpcdn.com/bphoto/jk86QtAE8MA-rFKN-FokQQ/o.jpg","False","https://www.yelp.com/biz/dolo-restaurant-and-bar-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","318","dimsum,seafood,","4","41.85256","-87.63604","delivery","pickup","restaurant_reservation","$$","2222 S Archer Ave","","","Chicago","60616","US","IL","2222 S Archer Ave","Chicago, IL 60616","","+13128775117","(312) 877-5117","853.02543825434"
"asian-cajun-plus-chicago","Asian Cajun PLUS","https://s3-media2.fl.yelpcdn.com/bphoto/w0a3Q3PXKqwb8oZkmzQIiw/o.jpg","False","https://www.yelp.com/biz/asian-cajun-plus-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","18","cajun,seafood,","4","41.8535118","-87.6269896","delivery","pickup","","$$","2115 S State St","Unit A","null","Chicago","60616","US","IL","2115 S State St","Unit A","Chicago, IL 60616","+13128836536","(312) 883-6536","953.643718575248"
"francos-ristorante-chicago","Franco's Ristorante","https://s3-media1.fl.yelpcdn.com/bphoto/6SJKGeuP_sRZxz_V0AdDxQ/o.jpg","False","https://www.yelp.com/biz/francos-ristorante-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","116","italian,","4.5","41.83843","-87.6343","delivery","pickup","","$$","300 W 31st St","","","Chicago","60616","US","IL","300 W 31st St","Chicago, IL 60616","","+13122259566","(312) 225-9566","833.3272940036079"
"pleasant-house-pub-chicago-3","Pleasant House Pub","https://s3-media4.fl.yelpcdn.com/bphoto/rDmjBPFKjE2CiA45YQUMvQ/o.jpg","False","https://www.yelp.com/biz/pleasant-house-pub-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","658","british,pubs,breakfast_brunch,","4.5","41.853572845459","-87.6462097167969","delivery","pickup","","$$","2119 S Halsted St","","null","Chicago","60608","US","IL","2119 S Halsted St","Chicago, IL 60608","","+17735237437","(773) 523-7437","1498.951534986516"
"haisous-vietnamese-kitchen-chicago-3","HaiSous Vietnamese Kitchen","https://s3-media1.fl.yelpcdn.com/bphoto/2gKquyIvYTm0OyhqZIk_ww/o.jpg","False","https://www.yelp.com/biz/haisous-vietnamese-kitchen-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","145","vietnamese,","4","41.857905464288","-87.653351765299","","","","$$","1800 S Carpenter St","","null","Chicago","60608","US","IL","1800 S Carpenter St","Chicago, IL 60608","","+13127021303","(312) 702-1303","2259.803536232984"
"emperors-choice-restaurant-chicago","Emperor's Choice Restaurant","https://s3-media4.fl.yelpcdn.com/bphoto/-RYp9ba9WDs3a0GaXp0cOA/o.jpg","False","https://www.yelp.com/biz/emperors-choice-restaurant-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","212","chinese,","4","41.85174","-87.63228","delivery","pickup","","$$","2238 S Wentworth Ave","","","Chicago","60616","US","IL","2238 S Wentworth Ave","Chicago, IL 60616","","+13122258800","(312) 225-8800","678.904092211158"
"demichaels-market-chicago","De'Michaels Market","https://s3-media3.fl.yelpcdn.com/bphoto/9V1I5onafAMiU2knXwumMw/o.jpg","False","https://www.yelp.com/biz/demichaels-market-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","27","delis,grocery,sandwiches,","4.5","41.8456648583682","-87.6247502033119","","","","$$","42 E 26th St","","","Chicago","60616","US","IL","42 E 26th St","Chicago, IL 60616","","+13123744922","(312) 374-4922","534.161945999668"
"taipei-cafe-chicago","Taipei Cafe","https://s3-media2.fl.yelpcdn.com/bphoto/SUXfZolkmCQGe1aiXEeXGA/o.jpg","False","https://www.yelp.com/biz/taipei-cafe-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","150","taiwanese,shavedice,bubbletea,","3.5","41.84501","-87.6463051","delivery","pickup","","$$","2609 S Halsted St","","null","Chicago","60608","US","IL","2609 S Halsted St","Chicago, IL 60608","","+13123741986","(312) 374-1986","1211.595009235644"
"joy-yee-noodle-chicago-2","Joy Yee Noodle","https://s3-media2.fl.yelpcdn.com/bphoto/NLXq0L8IBXUaenq--tBosg/o.jpg","False","https://www.yelp.com/biz/joy-yee-noodle-chicago-2?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","1370","noodles,panasian,","3.5","41.85412","-87.63391","delivery","","","$$","2139 S China Pl","","","Chicago","60616","US","IL","2139 S China Pl","Chicago, IL 60616","","+13123280001","(312) 328-0001","954.9580089388759"
"del-toro-chicago-4","Del Toro","https://s3-media3.fl.yelpcdn.com/bphoto/Rzta2dDijRUwg0x5AKfCuw/o.jpg","False","https://www.yelp.com/biz/del-toro-chicago-4?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","280","burgers,mexican,cocktailbars,","4","41.85324","-87.6462","","","","$$","2133 S Halsted St","","","Chicago","60608","US","IL","2133 S Halsted St","Chicago, IL 60608","","+13127337144","(312) 733-7144","1477.6879514388418"
"lao-sze-chuan-chicago-2","Lao Sze Chuan","https://s3-media2.fl.yelpcdn.com/bphoto/l87Vo8IM1UyyNXdHSog0NQ/o.jpg","False","https://www.yelp.com/biz/lao-sze-chuan-chicago-2?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","1225","szechuan,","3.5","41.85328","-87.63495","delivery","pickup","","$$","2172 S Archer Ave","","","Chicago","60616","US","IL","2172 S Archer Ave","Chicago, IL 60616","","+13123265040","(312) 326-5040","893.974429253184"
"hello-jasmine-chicago","Hello Jasmine","https://s3-media3.fl.yelpcdn.com/bphoto/m47acws3-IjLUc24Te02fw/o.jpg","False","https://www.yelp.com/biz/hello-jasmine-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","49","bubbletea,taiwanese,","4","41.85505","-87.63219","pickup","","","$","2002 S Wentworth Ave","Ste B11","null","Chicago","60616","US","IL","2002 S Wentworth Ave","Ste B11","Chicago, IL 60616","+13128897561","(312) 889-7561","1045.8171204995078"
"grand-palace-chicago","Grand Palace","https://s3-media3.fl.yelpcdn.com/bphoto/29AEtk9bb4CX61Xomiyy-w/o.jpg","False","https://www.yelp.com/biz/grand-palace-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","61","chinese,","4","41.8453675","-87.6326853","","","","$$","225 W 26th St","","","Chicago","60616","US","IL","225 W 26th St","Chicago, IL 60616","","+13122253888","(312) 225-3888","98.728343684274"
"dim-sum-house-chicago","Dim Sum House","https://s3-media1.fl.yelpcdn.com/bphoto/wcNAjOQa7z_SZDGj_IgnxA/o.jpg","False","https://www.yelp.com/biz/dim-sum-house-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","14","dimsum,","4","41.84509","-87.63214","","","","$","2610 S Wentworth Ave","","","Chicago","60616","US","IL","2610 S Wentworth Ave","Chicago, IL 60616","","+13128425400","(312) 842-5400","72.690307662236"
"dongpo-impression-chicago","Dongpo Impression","https://s3-media3.fl.yelpcdn.com/bphoto/_oabu-V1IRoXV2f5_UyP6Q/o.jpg","False","https://www.yelp.com/biz/dongpo-impression-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","100","szechuan,","4","41.8531163744725","-87.632901383007","delivery","pickup","","$$","228 W Cermak Rd","","","Chicago","60616","US","IL","228 W Cermak Rd","Chicago, IL 60616","","+13128427818","(312) 842-7818","837.4083259678879"
"a-place-by-damao-chicago-3","a place BY DAMAO","https://s3-media4.fl.yelpcdn.com/bphoto/0lLVKEl5jA04v3C_QGpXUQ/o.jpg","False","https://www.yelp.com/biz/a-place-by-damao-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","33","tapasmallplates,chinese,","4","41.8444245897206","-87.6461577331106","delivery","pickup","","$$","2621 S Halsted St","Ste 1","null","Chicago","60608","US","IL","2621 S Halsted St","Ste 1","Chicago, IL 60608","+13129292088","(312) 929-2088","1214.539550558562"
"home-style-taste-chinese-chicago","Home Style Taste Chinese","https://s3-media1.fl.yelpcdn.com/bphoto/hslsn-Qttzws32Kpx2NTBA/o.jpg","False","https://www.yelp.com/biz/home-style-taste-chinese-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","146","dimsum,seafood,juicebars,","4","41.8360011536387","-87.6459531784058","pickup","delivery","","$$","3205 S Halsted St","","","Chicago","60608","US","IL","3205 S Halsted St","Chicago, IL 60608","","+13129499328","(312) 949-9328","1602.2057421889779"
"star-kitchen-chicago","Star Kitchen","https://s3-media4.fl.yelpcdn.com/bphoto/2O1dzI0HmDbfSwFhoE27Cg/o.jpg","False","https://www.yelp.com/biz/star-kitchen-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","62","asianfusion,chinese,","3.5","41.8378506","-87.6354674","delivery","pickup","","$","3110 S Shields Ave","null","","Chicago","60616","US","IL","3110 S Shields Ave","Chicago, IL 60616","","+13126313795","(312) 631-3795","929.927694953978"
"carbon-chicago","Carbon","https://s3-media3.fl.yelpcdn.com/bphoto/dKg8yxwkIreRmr98lkJ6oA/o.jpg","False","https://www.yelp.com/biz/carbon-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","465","mexican,","3.5","41.84561","-87.63487","delivery","pickup","","$","300 W 26th St","","","Chicago","60616","US","IL","300 W 26th St","Chicago, IL 60616","","+13122253200","(312) 225-3200","265.36628866118"
"opart-thai-house-chicago","Opart Thai House","https://s3-media1.fl.yelpcdn.com/bphoto/R0VZSqtkaZ_VbVQzUneQIA/o.jpg","False","https://www.yelp.com/biz/opart-thai-house-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","791","thai,","4","41.8563894","-87.6272949","pickup","delivery","","$$","1906 S State St","null","","Chicago","60606","US","IL","1906 S State St","Chicago, IL 60606","","+13125679898","(312) 567-9898","1208.846758146922"
"yassa-african-restaurant-chicago-2","Yassa African Restaurant","https://s3-media1.fl.yelpcdn.com/bphoto/_aFac2TpP_CZNN9F8nPbAA/o.jpg","False","https://www.yelp.com/biz/yassa-african-restaurant-chicago-2?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","165","senegalese,seafood,","4.5","41.830723756206","-87.6167381675416","pickup","delivery","","$$","3511 S King Dr","","","Chicago","60653","US","IL","3511 S King Dr","Chicago, IL 60653","","+17734885599","(773) 488-5599","2065.864930799904"
"tapas-valencia-chicago","Tapas Valencia","https://s3-media4.fl.yelpcdn.com/bphoto/AU5SeVyyAUl-_g0_IANYKA/o.jpg","False","https://www.yelp.com/biz/tapas-valencia-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","500","spanish,tapasmallplates,venues,","4","41.861043","-87.628155","delivery","","","$$","1530 S State St","","","Chicago","60605","US","IL","1530 S State St","Chicago, IL 60605","","+13128424444","(312) 842-4444","1735.16619237777"
"antique-taco-chicago-7","Antique Taco","https://s3-media3.fl.yelpcdn.com/bphoto/KUgxCZsd_PsyzJkyweuV0w/o.jpg","False","https://www.yelp.com/biz/antique-taco-chicago-7?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","161","bars,tacos,","3.5","41.8309578743552","-87.6512996342303","delivery","pickup","","$$","1000 W 35th St","","null","Chicago","60609","US","IL","1000 W 35th St","Chicago, IL 60609","","+17738239410","(773) 823-9410","2309.82104032814"
"gios-cafe-and-deli-chicago","Gio's Cafe and Deli","https://s3-media1.fl.yelpcdn.com/bphoto/N7BH0zLQSAD5andq-2r2GQ/o.jpg","False","https://www.yelp.com/biz/gios-cafe-and-deli-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","223","delis,italian,","4.5","41.84366","-87.64312","delivery","pickup","","$$","2724 S Lowe Ave","","","Chicago","60616","US","IL","2724 S Lowe Ave","Chicago, IL 60616","","+13122256368","(312) 225-6368","970.1895697103199"
"yvolinas-tamales-chicago","Yvolina's Tamales","https://s3-media3.fl.yelpcdn.com/bphoto/geuFVwPKafYZ8oId0U4fhQ/o.jpg","False","https://www.yelp.com/biz/yvolinas-tamales-chicago?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","82","vegan,mexican,meats,","4.5","41.85831","-87.64727","","","","$","814 W 18th St","null","","Chicago","60608","US","IL","814 W 18th St","Chicago, IL 60608","","+13127313167","(312) 731-3167","1909.175493595208"
"culvers-chicago-3","Culver's","https://s3-media3.fl.yelpcdn.com/bphoto/HgCHSphg01tmyN_MLLrXdg/o.jpg","False","https://www.yelp.com/biz/culvers-chicago-3?adjust_creative=tfYAhmRoAxvCnHeqBmZWDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tfYAhmRoAxvCnHeqBmZWDQ","11","icecream,burgers,hotdogs,","2","41.8333130501064","-87.6168342269837","","","","$","3355 S Martin Luther King Dr","","null","Chicago","60616","US","IL","3355 S Martin Luther King Dr","Chicago, IL 60616","","+13128081100","(312) 808-1100","1837.2392196592118"
