category,item,count
steak,baked potato,1
steak,berkshire pork porterhouse,1
steak,bordelaise sauce,1
steak,braised short rib,1
steak,brick amish chicken,1
steak,brussels sprouts,1
steak,béarnaise sauce,1
steak,caesar,1
steak,cfh burger,1
steak,cfh filet flight,1
steak,chateaubriand for two,1
steak,cheese fries,1
steak,cheese ginoritos,1
steak,chicago polish with fries,1
mediterranean,falafel wrap,4
mediterranean,falafel platter,2
mediterranean,grilled chicken shawarma platter,2
mediterranean,grilled chicken shawarma wrap,2
mediterranean,herb fries with kalamata sauce,2
mediterranean,hummus,2
mediterranean,a la turca lentil soup,1
mediterranean,arabian night dinner,1
mediterranean,arabic mint tea dinner,1
mediterranean,assortment of hot tea dinner,1
mediterranean,baba gannoush,1
mediterranean,baba ganoush gluten free dinner,1
mediterranean,bacon wrapped dates gluten free dinner,1
mediterranean,banyan kabob gluten free dinner,1
mediterranean,bar steak platter,1
mediterranean,beef and lamb doner shawarma kebab,1
mediterranean,black angus beef ribeye kabob wrap,1
mediterranean,blackened tuna or salmon salad gluten free dinner,1
mediterranean,borek,1
mediterranean,bottled water,1
turkish,a la turca lentil soup,1
turkish,bar steak platter,1
turkish,beef and lamb doner shawarma kebab,1
turkish,borek,1
turkish,cacik,1
turkish,calamari,1
turkish,dolma,1
turkish,doner shawarma kebab platter,1
turkish,eggplant salad,1
turkish,ezme,1
turkish,falafel,1
turkish,falafel platter,1
turkish,falafel wrap,1
turkish,feta cheese salad,1
turkish,french fries,1
turkish,galata base salad,1
turkish,goat cheese salad,1
turkish,grilled beef kebab platter,1
turkish,grilled beef steak salad,1
turkish,grilled chicken kebab,1
diners,bacon  sausage  pancakes  eggs,2
diners,eggs and bacon,2
diners,grilled chicken breast,2
diners,italian beef,2
diners,italian sausage,2
diners,all american submarine,1
diners,american skillet,1
diners,apple juice,1
diners,bacon hamburger,1
diners,bacon or sausage,1
diners,bacon or sausage served with chopped steak,1
diners,bacon or sausage served with corn beef hash,1
diners,bacon or sausage served with rib eye steak,1
diners,bacon or sausage served with skirt steak,1
diners,bacon with egg,1
diners,barbque chicken breast,1
diners,blt,1
diners,blt club,1
diners,bottle water,1
diners,bottled juice pop,1
hotdog,eggs and bacon,2
hotdog,cheeseburger,1
hotdog,double cheeseburger,1
hotdog,elote,1
hotdog,fries,1
hotdog,hamburger,1
hotdog,horchata,1
hotdog,hot dog,1
hotdog,limon,1
hotdog,mixed fruit cup,1
hotdog,oz bottled drink,1
hotdog,oz can soda,1
hotdog,paletas,1
hotdog,piece chicken wings,1
hotdog,polish,1
hotdog,pop,1
hotdog,pork chop sandwich,1
hotdog,taco,1
hotdog,tostadas,1
hotdog,with cheese,1
mideastern,arabian night dinner,1
mideastern,arabic mint tea dinner,1
mideastern,assortment of hot tea dinner,1
mideastern,baba ganoush gluten free dinner,1
mideastern,bacon wrapped dates gluten free dinner,1
mideastern,banyan kabob gluten free dinner,1
mideastern,black angus beef ribeye kabob wrap,1
mideastern,blackened tuna or salmon salad gluten free dinner,1
mideastern,bread pudding dinner,1
mideastern,brie potatoes gluten free dinner,1
mideastern,butternut squash gluten free,1
mideastern,can of soda,1
mideastern,cappuccino dinner,1
mideastern,cayenne wedges gluten free dinner,1
mideastern,chicken kabob wrap,1
mideastern,chicken shawarma wrap,1
mideastern,chocolate lava cake dinner,1
mideastern,chocolate walnut baklava dinner,1
mideastern,coffee dinner,1
mideastern,combination of any two entrees dinner,1
japanese,gyoza,4
japanese,spicy tuna roll,4
japanese,dragon roll,3
japanese,edamame,3
japanese,miso soup,3
japanese,sake,3
japanese,spider roll,3
japanese,avocado roll,2
japanese,california roll,2
japanese,chirashi,2
japanese,crunchy roll,2
japanese,dragon rock tempura roll,2
japanese,fresh philly roll,2
japanese,hamachi,2
japanese,kampyo roll,2
japanese,philly roll,2
japanese,rainbow roll,2
japanese,salmon avocado roll,2
japanese,salmon skin roll,2
japanese,seaweed salad,2
coffee,chinese style fried rice,2
coffee,d black tea with milk,2
coffee,d honey tea,2
coffee,d lemon tea,2
coffee,d longan tea,2
coffee,d passion fruit tea,2
coffee,d peach tea,2
coffee,deep fried squid tentacles,2
coffee,el salvador,2
coffee,general tsos chicken,2
coffee,golden crab rangoon,2
coffee,japanese curry fried rice,2
coffee,scallion pancake,2
coffee,spaghetti,2
coffee,spicy lamb stir fried,2
coffee,taiwanese chicken strips,2
coffee,vermicelli in singapore curry sauce,2
coffee,a vegetable with fried fish and fresh garlic,1
coffee,a vegetable with fried fish in black bean sauce,1
coffee,aromatic chicken with curry sauce combo set,1
beergardens,bacon or sausage,1
beergardens,bakehouse strata,1
beergardens,beans  cornbread,1
beergardens,beet salad,1
beergardens,cheese grits,1
beergardens,classic,1
beergardens,egg sandwich,1
beergardens,farm egg,1
beergardens,french toast,1
beergardens,granola  yogurt,1
beergardens,house english muffin,1
beergardens,kale  roasted vegetable salad,1
beergardens,mixed greens,1
beergardens,oatmeal,1
beergardens,omelette,1
beergardens,pancakes,1
beergardens,quinoa porridge,1
beergardens,seasonal soup,1
beergardens,toast  jam,1
beergardens,tomato  chevre salad,1
sushi,gyoza,5
sushi,sake,5
sushi,spicy tuna roll,5
sushi,spider roll,5
sushi,unagi,5
sushi,dragon roll,4
sushi,edamame,4
sushi,hamachi,4
sushi,miso soup,4
sushi,rainbow roll,4
sushi,seaweed salad,4
sushi,volcano roll,4
sushi,avocado roll,3
sushi,california roll,3
sushi,ebi,3
sushi,ika,3
sushi,maguro,3
sushi,masago,3
sushi,salmon skin roll,3
sushi,sashimi appetizer,3
latin,bbq pork,1
latin,buffalo chicken,1
latin,cuban style black beans,1
latin,elote corn,1
latin,guava cream cheese,1
latin,nacho mamas nachos,1
latin,nachomale,1
latin,pineapple cream cheese,1
latin,slow roasted cuban pork,1
latin,three cheese,1
divebars,jumbo chicken wings,2
divebars,baby back ribs,1
divebars,bacon candy,1
divebars,banana puddding,1
divebars,beans with pork,1
divebars,beef brisket sandwich,1
divebars,butter pound cake with bourbon sauce,1
divebars,candied yams,1
divebars,corn bread muffins,1
divebars,dinky dunkers sandwich,1
divebars,empanadas,1
divebars,filberts black cherry,1
divebars,filberts cream soda,1
divebars,filberts orange,1
divebars,filberts real ginger beer,1
divebars,filberts root beer,1
divebars,fresh coleslaw,1
divebars,fried green tomatoes,1
divebars,fungi sandwich,1
divebars,garlic bread,1
foodtrucks,aloe vera natural grape king drink,1
foodtrucks,ambers fire nachos,1
foodtrucks,cheese fries,1
foodtrucks,cheese ginoritos,1
foodtrucks,chicago polish with fries,1
foodtrucks,chicken and cheese,1
foodtrucks,chicken taco,1
foodtrucks,corned beef and cheese,1
foodtrucks,crispy chicken taco,1
foodtrucks,crystals favorite chocolate brownie,1
foodtrucks,fancy steak and cheese,1
foodtrucks,fresh cut fries,1
foodtrucks,garlic butter cheddar fries,1
foodtrucks,garlic butter cheese ginoritos,1
foodtrucks,ginoritos,1
foodtrucks,ginos all american cheeseburger,1
foodtrucks,ginos crispy chicken tenders,1
foodtrucks,ginos salad,1
foodtrucks,grandma ginos chocolate chip cookie,1
foodtrucks,grilled cheese,1
foodstands,crab rangoon,2
foodstands,pad see ewe,2
foodstands,pad thai,2
foodstands,thai panang curry,2
foodstands,vegetable egg rolls,2
foodstands,basil fried rice,1
foodstands,bodhi vegetables,1
foodstands,bottled water,1
foodstands,brown rice,1
foodstands,cashew chicken,1
foodstands,cashew chicken plate,1
foodstands,chef special plate,1
foodstands,clay pot,1
foodstands,crab fried rice,1
foodstands,crispy fried tofu,1
foodstands,curry fried rice,1
foodstands,garlic prawns,1
foodstands,green curry,1
foodstands,green curry vegetable plate,1
foodstands,grilled pork shoulder,1
musicvideo,chili mac,2
musicvideo,abita bottled root beer,1
musicvideo,apple pie,1
musicvideo,baked beans,1
musicvideo,baked mac ncheese,1
musicvideo,bbq bacon burger,1
musicvideo,breaded chicken,1
musicvideo,brother jons ribs,1
musicvideo,buffalo chicken,1
musicvideo,build your own chicken sandwich or burger,1
musicvideo,burger en fuego,1
musicvideo,cajun chicken caesar salad,1
musicvideo,catfish sandwich,1
musicvideo,char dog,1
musicvideo,cheese fries,1
musicvideo,cheese tots,1
musicvideo,chicken fried chicken,1
musicvideo,chicken parmesan,1
musicvideo,chicken strips,1
musicvideo,chopped salad,1
musicvenues,chili mac,2
musicvenues,abita bottled root beer,1
musicvenues,apple pie,1
musicvenues,baked beans,1
musicvenues,baked mac ncheese,1
musicvenues,bbq bacon burger,1
musicvenues,breaded chicken,1
musicvenues,brother jons ribs,1
musicvenues,buffalo chicken,1
musicvenues,build your own chicken sandwich or burger,1
musicvenues,burger en fuego,1
musicvenues,cajun chicken caesar salad,1
musicvenues,catfish sandwich,1
musicvenues,char dog,1
musicvenues,cheese fries,1
musicvenues,cheese tots,1
musicvenues,chicken fried chicken,1
musicvenues,chicken parmesan,1
musicvenues,chicken strips,1
musicvenues,chopped salad,1
convenience,boxed lunches,1
convenience,caesar salad,1
convenience,chicken salad,1
convenience,chicken sandwich,1
convenience,garden salad,1
convenience,greek salad,1
convenience,hot dog,1
convenience,meat  cheese platters,1
convenience,pumpernickel,1
convenience,rye bread,1
convenience,sandwich platters,1
convenience,specialty salad,1
convenience,tuna salad,1
convenience,tuna sandwich,1
convenience,veggie sandwich,1
convenience,wheat bread,1
convenience,wheat roll,1
convenience,white roll,1
convenience,wrap,1
whiskeybars,pulled pork,2
whiskeybars,slider trio,2
whiskeybars,addnblackened shrimp ngrilled chicken ngrilled salmon,1
whiskeybars,bbq miniquesadillas pcs,1
whiskeybars,bbq nachos,1
whiskeybars,bbq ribs,1
whiskeybars,bbq sampler,1
whiskeybars,blackened shrimp,1
whiskeybars,brisket,1
whiskeybars,garden salad,1
whiskeybars,greek salad,1
whiskeybars,grilled chicken,1
whiskeybars,loaded fries,1
whiskeybars,mac  cheese,1
whiskeybars,shrimp,1
whiskeybars,smoked brisket macncheese,1
whiskeybars,supreme,1
whiskeybars,taco special,1
streetvendors,elote,1
streetvendors,horchata,1
streetvendors,limon,1
streetvendors,mixed fruit cup,1
streetvendors,oz bottled drink,1
streetvendors,oz can soda,1
streetvendors,paletas,1
streetvendors,piece chicken wings,1
streetvendors,taco,1
streetvendors,tostadas,1
cuban,bbq pork,1
cuban,buffalo chicken,1
cuban,cuban style black beans,1
cuban,elote corn,1
cuban,guava cream cheese,1
cuban,nacho mamas nachos,1
cuban,nachomale,1
cuban,pineapple cream cheese,1
cuban,slow roasted cuban pork,1
cuban,three cheese,1
