bigram,category,count
almond sweet,chinese,1
almond sweet,seafood,1
aloe vera,foodtrucks,1
aloe vera,sandwiches,1
aloe vera,steak,1
alp fried,chinese,1
alp fried,coffee,1
alp fried,taiwanese,1
alp taste,chinese,1
alp taste,coffee,1
alp taste,taiwanese,1
alubias negras,spanish,1
alubias negras,tapasmallplates,1
alubias negras,venues,1
always fresh,mexican,1
ama ebi,asianfusion,1
ama ebi,chinese,2
ama ebi,sushi,1
ama ebi,thai,1
amaebi sashimi,japanese,1
amaebi sashimi,sushi,1
amaebi sushi,japanese,1
amaebi sushi,sushi,1
amazing tuna,chinese,1
amazing tuna,sushi,1
amber roll,chinese,1
amber roll,sushi,1
amber's fire,foodtrucks,1
amber's fire,sandwiches,1
amber's fire,steak,1
american broccoli,asianfusion,1
american broccoli,cantonese,6
american broccoli,chinese,10
american broccoli,dimsum,3
american broccoli,seafood,6
american broccoli,szechuan,3
american cheese,diners,2
american cheese,mexican,2
american cheese,newamerican,2
american cheese,tradamerican,1
american cheeseburger,foodtrucks,1
american cheeseburger,sandwiches,1
american cheeseburger,steak,1
american classic,burgers,2
american eagle,asianfusion,1
american eagle,japanese,1
american eagle,sushi,1
american ginseng,cantonese,1
american ginseng,dimsum,1
american skillet,diners,1
american skillet,mexican,1
american skillet,newamerican,1
american style,chinese,1
american sub,burgers,1
american sub,delis,1
american sub,sandwiches,1
american submarine,diners,1
american submarine,mexican,1
american submarine,newamerican,1
amish chicken,desserts,1
amish chicken,salad,1
amish chicken,steak,1
amoy dinner,chinese,1
amoy dinner,seafood,1
amoy rice,chinese,3
amoy style,cantonese,1
amoy style,dimsum,1
an extra,bars,1
an extra,korean,1
an extra,polish,1
anaconda roll,asianfusion,1
anaconda roll,japanese,1
anaconda roll,sushi,1
anago sashimi,japanese,1
anago sashimi,sushi,1
anago sushi,japanese,1
anago sushi,sushi,1
anchors away,breakfast_brunch,1
anchors away,pubs,1
anchors away,tradamerican,1
ancient grains,breakfast_brunch,1
ancient grains,burgers,1
ancient grains,salad,1
and 1,burgers,1
and 1,hotdogs,1
and 1,sandwiches,4
and 10,burgers,1
and 10,hotdogs,1
and 15,burgers,1
and 15,hotdogs,1
and 2,burgers,2
and 2,chinese,2
and 2,hotdogs,2
and 2,icecream,1
and 2,tradamerican,2
and 21,sandwiches,1
and 3,diners,2
and 3,mexican,2
and 3,newamerican,2
and 3,sandwiches,1
and 4,burgers,1
and 4,hotdogs,1
and a,pizza,1
and aa,cantonese,1
and aa,seafood,1
and ale,breakfast_brunch,1
and ale,british,1
and ale,pubs,1
and alfredo,delis,1
and alfredo,italian,1
and american,chinese,1
and ÄÅmushroom,bbq,1
and ÄÅmushroom,chinese,1
and artichoke,sportsbars,2
and artichoke,tradamerican,2
and asian,chinese,1
and asian,coffee,1
and asian,taiwanese,1
and asparagus,chinese,3
and asparagus,coffee,1
and asparagus,taiwanese,1
and assorted,cantonese,1
and assorted,dimsum,1
and avocado,breakfast_brunch,1
and avocado,newamerican,1
and avocado,tradamerican,1
and baby,chinese,2
and bacon,breakfast_brunch,1
and bacon,burgers,2
and bacon,chinese,1
and bacon,diners,2
and bacon,hotdog,2
and bacon,italian,1
and bacon,sandwiches,1
and bacon,seafood,1
and bacon,tradamerican,4
and baked,asianfusion,1
and baked,chinese,1
and bamboo,cantonese,1
and bamboo,chinese,5
and bamboo,chinese,1
and bamboo,szechuan,1
and basil,dimsum,1
and basil,juicebars,1
and basil,seafood,1
and bbq,asianfusion,2
and bbq,cantonese,2
and bbq,chinese,1
and bbq,chinese,5
and bbq,noodles,1
and bbq,szechuan,2
and bean,cantonese,3
and bean,chinese,7
and bean,chinese,4
and bean,dimsum,3
and bean,seafood,2
and bean,sushi,1
and bean,szechuan,1
and bean,szechuan,1
and beans,cajun,2
and beans,indpak,2
and beans,italian,2
and beans,sandwiches,2
and beans,tradamerican,2
and beef,asianfusion,2
and beef,breakfast_brunch,1
and beef,cantonese,2
and beef,chinese,16
and beef,chinese,2
and beef,dimsum,3
and beef,juicebars,1
and beef,mediterranean,1
and beef,mideastern,1
and beef,noodles,4
and beef,panasian,2
and beef,seafood,2
and beef,szechuan,1
and birds,cantonese,1
and birds,dimsum,1
and birds,seafood,1
and bitter,chinese,3
and bitter,chinese,2
and bitter,noodles,2
and black,asianfusion,2
and black,cantonese,1
and black,chinese,12
and black,chinese,2
and black,dimsum,3
and black,noodles,2
and black,noodles,1
and black,seafood,2
and blood,chinese,1
and blood,szechuan,1
and bok,chinese,3
and boy,chinese,1
and bread,breakfast_brunch,1
and bread,british,1
and bread,pubs,1
and broccoli,asianfusion,1
and broccoli,cajun,1
and broccoli,chinese,11
and broccoli,chinese,1
and broccoli,coffee,2
and broccoli,delis,1
and broccoli,indpak,1
and broccoli,italian,2
and broccoli,juicebars,1
and broccoli,noodles,1
and broccoli,noodles,1
and broccoli,seafood,1
and broccoli,taiwanese,2
and broccoli,vietnamese,1
and brocolli,asianfusion,1
and brocolli,chinese,1
and brown,chinese,1
and brown,dimsum,1
and butter,bars,1
and butter,newamerican,1
and cabbage,asianfusion,1
and cabbage,bbq,2
and cabbage,bbq,1
and cabbage,chinese,3
and cabbage,chinese,1
and cabbage,dimsum,2
and cabbage,juicebars,2
and cabbage,seafood,2
and calamari,noodles,1
and calamari,panasian,1
and can,sandwiches,2
and carrot,bbq,1
and carrot,chinese,2
and carrot,coffee,1
and carrot,noodles,1
and carrot,taiwanese,1
and carrot,vietnamese,1
and cashew,chinese,1
and cauliflower,bars,1
and cauliflower,chinese,5
and cauliflower,italian,1
and cauliflower,pizza,1
and celery,bbq,2
and celery,chinese,9
and celery,chinese,2
and celery,coffee,4
and celery,taiwanese,4
and cheddar,burgers,1
and cheddar,hotdogs,1
and cheddar,tradamerican,1
and cheese,bars,2
and cheese,bbq,1
and cheese,breakfast_brunch,3
and cheese,burgers,3
and cheese,chicken_wings,2
and cheese,convenience,1
and cheese,delis,1
and cheese,desserts,2
and cheese,diners,1
and cheese,divebars,1
and cheese,foodtrucks,5
and cheese,grocery,1
and cheese,hotdogs,4
and cheese,italian,5
and cheese,juicebars,1
and cheese,mexican,2
and cheese,newamerican,3
and cheese,pizza,5
and cheese,salad,2
and cheese,sandwiches,7
and cheese,seafood,3
and cheese,steak,7
and cheese,tradamerican,8
and cheese,whiskeybars,1
and chevre,beergardens,1
and chevre,coffee,1
and chevre,newamerican,1
and chicken,asianfusion,8
and chicken,bbq,1
and chicken,cantonese,3
and chicken,chinese,33
and chicken,coffee,3
and chicken,dimsum,5
and chicken,juicebars,1
and chicken,noodles,4
and chicken,panasian,2
and chicken,seafood,4
and chicken,szechuan,2
and chicken,taiwanese,3
and chili,chinese,2
and chili,dimsum,2
and chili,juicebars,1
and chili,seafood,1
and chili,szechuan,2
and chili,szechuan,1
and chinese,cantonese,3
and chinese,chinese,13
and chinese,coffee,2
and chinese,dimsum,1
and chinese,szechuan,3
and chinese,taiwanese,2
and chips,mexican,1
and chips,mexican,2
and chive,asianfusion,1
and chive,chinese,4
and chive,chinese,1
and chive,dimsum,1
and chive,juicebars,1
and chive,seafood,1
and chives,chinese,3
and chives,chinese,1
and chives,dimsum,1
and chives,juicebars,1
and chives,noodles,1
and chives,seafood,1
and chives,szechuan,1
and chorizo,mexican,1
and chow,chinese,1
and cilantro,chinese,3
and cilantro,chinese,1
and clam,chinese,5
and clam,ramen,1
and clear,dimsum,2
and clear,juicebars,2
and clear,seafood,2
and coconut,chinese,3
and coffee,chinese,1
and coriander,bbq,4
and coriander,chinese,4
and corn,cantonese,2
and corn,chinese,8
and corn,chinese,1
and corn,dimsum,2
and corn,seafood,3
and cornbread,beergardens,1
and cornbread,coffee,1
and cornbread,newamerican,1
and corned,diners,1
and corned,mexican,1
and corned,newamerican,1
and corned,sandwiches,1
and crab,asianfusion,1
and crab,cantonese,2
and crab,chinese,2
and crab,dimsum,1
and crab,seafood,1
and crabmeat,chinese,1
and cream,italian,1
and cream,newamerican,1
and cream,pizza,1
and crispy,bbq,1
and crispy,korean,1
and cucumber,asianfusion,1
and cucumber,chinese,2
and cucumber,chinese,1
and cucumber,japanese,1
and cucumber,sushi,1
and cured,chinese,1
and cured,noodles,1
and cuttlefish,chinese,1
and cuttlefish,seafood,1
and dace,chinese,1
and dice,chinese,1
and diced,cantonese,1
and diced,chinese,1
and diced,szechuan,1
and dill,bbq,2
and dill,chinese,2
and dried,chinese,10
and dried,chinese,2
and dried,dimsum,1
and dried,noodles,2
and dried,szechuan,1
and dried,tapasmallplates,1
and drink,burgers,1
and drink,hotdogs,1
and drink,icecream,1
and dry,chinese,2
and dry,coffee,1
and dry,dimsum,1
and dry,juicebars,1
and dry,seafood,1
and dry,taiwanese,1
and duck,cantonese,1
and duck,chinese,1
and duck,dimsum,1
and duck,seafood,1
and dumpling,breakfast_brunch,1
and dumpling,burgers,1
and dumpling,salad,1
and ear,chinese,1
and eel,asianfusion,4
and eel,chinese,4
and egg,asianfusion,2
and egg,bbq,4
and egg,breakfast_brunch,1
and egg,cantonese,5
and egg,chinese,28
and egg,chinese,2
and egg,coffee,2
and egg,dimsum,5
and egg,diners,3
and egg,italian,1
and egg,mexican,3
and egg,newamerican,4
and egg,noodles,6
and egg,panasian,2
and egg,pizza,1
and egg,seafood,5
and egg,taiwanese,2
and egg,vietnamese,4
and eggplant,chinese,3
and eggplant,coffee,1
and eggplant,dimsum,1
and eggplant,juicebars,1
and eggplant,seafood,1
and eggplant,szechuan,1
and eggplant,taiwanese,1
and eggs,breakfast_brunch,2
and eggs,burgers,1
and eggs,chinese,1
and eggs,delis,1
and eggs,italian,1
and eggs,newamerican,1
and eggs,salad,1
and enoki,asianfusion,3
and enoki,chinese,5
and enoki,coffee,2
and enoki,taiwanese,2
and fatty,chinese,1
and fermented,chinese,1
and fermented,noodles,1
and feta,breakfast_brunch,1
and feta,mediterranean,1
and feta,mideastern,1
and fish,asianfusion,3
and fish,cantonese,3
and fish,chinese,23
and fish,dimsum,5
and fish,seafood,3
and fish,szechuan,1
and fortune,chinese,1
and fresh,cantonese,1
and fresh,chinese,7
and fresh,coffee,1
and fresh,dimsum,1
and fresh,taiwanese,1
and fried,bars,1
and fried,breakfast_brunch,1
and fried,chinese,2
and fried,coffee,1
and fried,newamerican,1
and fried,szechuan,1
and fried,taiwanese,1
and fries,burgers,2
and fries,chinese,1
and fries,coffee,1
and fries,newamerican,2
and fries,pizza,2
and fries,sandwiches,1
and fries,taiwanese,1
and fungus,chinese,1
and fungus,coffee,1
and fungus,taiwanese,1
and garlic,bbq,1
and garlic,cantonese,1
and garlic,chinese,16
and garlic,coffee,2
and garlic,dimsum,1
and garlic,juicebars,1
and garlic,noodles,1
and garlic,seafood,1
and garlic,szechuan,1
and garlic,taiwanese,2
and garlic,vietnamese,1
and giardinara,italian,4
and giardinara,pizza,4
and giardinara,venues,4
and giardinera,sportsbars,1
and giardinera,tradamerican,1
and giardiniera,italian,1
and giardiniera,pizza,1
and giardiniera,venues,1
and ginger,chinese,2
and golden,cantonese,1
and golden,chinese,1
and golden,dimsum,1
and golden,seafood,1
and goose,cantonese,1
and goose,dimsum,1
and goose,seafood,1
and gosse,cantonese,1
and gosse,dimsum,1
and gourmet,italian,1
and gourmet,pizza,1
and grapefruit,asianfusion,1
and grapefruit,chinese,1
and grass,chinese,1
and gravy,burgers,1
and gravy,chinese,1
and gravy,hotdogs,1
and gravy,icecream,1
and gravy,tradamerican,2
and green,asianfusion,2
and green,bbq,3
and green,cantonese,2
and green,chinese,28
and green,chinese,4
and green,coffee,1
and green,dimsum,2
and green,juicebars,2
and green,noodles,4
and green,seafood,3
and green,sushi,4
and green,szechuan,2
and green,taiwanese,1
and green,tradamerican,1
and grilled,italian,2
and grilled,noodles,1
and grilled,pizza,2
and grilled,vietnamese,1
and ground,chinese,1
and ground,mexican,1
and guac,tradamerican,1
and guacamole,bars,1
and guacamole,mexican,1
and guacamole,tacos,1
and guy,chinese,1
and ham,chinese,2
and honey,chinese,1
and honeydew,noodles,1
and honeydew,panasian,1
and hong,chinese,1
and hot,bbq,3
and hot,cantonese,1
and hot,chinese,1
and hot,chinese,2
and hot,dimsum,1
and hot,korean,3
and hot,mexican,1
and hot,noodles,1
and hummus,cajun,1
and hummus,indpak,1
and hummus,italian,1
and ice,chinese,1
and instant,chinese,2
and intestine,szechuan,1
and j,bars,1
and j,breakfast_brunch,1
and j,newamerican,1
and jade,szechuan,1
and jalapeno,chinese,1
and jalapeno,dimsum,2
and jalapeno,italian,1
and jalapeno,juicebars,1
and jalapeno,pizza,1
and jalapeno,seafood,1
and jam,beergardens,1
and jam,coffee,1
and jam,newamerican,1
and japanese,cantonese,1
and japanese,chinese,1
and japanese,dimsum,1
and japanese,seafood,1
and jelly,breakfast_brunch,1
and jelly,newamerican,1
and jumbo,chinese,1
and jumbo,coffee,1
and jumbo,taiwanese,1
and kale,breakfast_brunch,1
and kale,british,1
and kale,pubs,1
and ketchup,chinese,1
and kidney,chinese,7
and kimchee,chinese,1
and kimchi,chinese,1
and kimchi,korean,1
and kimchi,korean,2
and king,cantonese,1
and king,chinese,1
and king,seafood,1
and lamb,breakfast_brunch,1
and lamb,breakfast_brunch,1
and lamb,dimsum,1
and lamb,juicebars,1
and lamb,mediterranean,2
and lamb,mediterranean,1
and lamb,mideastern,1
and lamb,mideastern,1
and lamb,seafood,2
and lamb,senegalese,1
and lamb,szechuan,1
and lamb,turkish,1
and lean,chinese,3
and leek,bbq,5
and leek,chinese,5
and lemon,chinese,6
and lemongrass,chinese,1
and lettuce,chinese,1
and lettuce,chinese,1
and lilium,chinese,1
and lily,chinese,2
and lime,bubbletea,1
and lime,chinese,2
and lime,shavedice,1
and lime,taiwanese,1
and little,bars,1
and little,italian,1
and little,pizza,1
and liver,chinese,5
and lobster,chinese,2
and long,szechuan,1
and longan,chinese,1
and lotus,bbq,1
and lotus,chinese,3
and lungs,chinese,1
and lychee,chinese,2
and lychee,noodles,14
and lychee,panasian,14
and maggi,dimsum,2
and maggie,cantonese,1
and maggie,dimsum,1
and mango,noodles,1
and mango,panasian,1
and marinated,chinese,1
and mash,breakfast_brunch,1
and mash,british,1
and mash,pubs,1
and mau,chinese,1
and maw,asianfusion,1
and maw,chinese,3
and maw,szechuan,3
and mayonnaise,chinese,5
and mayonnaise,coffee,5
and mayonnaise,taiwanese,5
and meat,bars,1
and meat,chinese,1
and meat,chinese,1
and meat,seafood,1
and meat,tradamerican,1
and meatball,chinese,1
and meatballs,breakfast_brunch,1
and meatballs,italian,1
and meatballs,pizza,1
and meatballs,pubs,1
and meatballs,tradamerican,1
and meats,szechuan,1
and mexican,mexican,1
and milk,asianfusion,1
and milk,chinese,5
and minced,chinese,3
and minced,szechuan,1
and mixed,chinese,4
and mozzarella,bbq,1
and mozzarella,italian,1
and mozzarella,korean,1
and mozzarella,pizza,1
and mushroom,asianfusion,4
and mushroom,bbq,2
and mushroom,breakfast_brunch,1
and mushroom,cantonese,1
and mushroom,chinese,12
and mushroom,chinese,2
and mushroom,mediterranean,1
and mushroom,mideastern,1
and mushroom,noodles,3
and mushroom,panasian,1
and mushroom,seafood,1
and mushroom,sushi,1
and mushroom,tradamerican,1
and mushrooms,tradamerican,1
and mustard,chinese,1
and mustard,diners,1
and mustard,mexican,1
and mustard,newamerican,1
and noodle,chinese,1
and noodle,dimsum,1
and noodle,juicebars,1
and noodle,seafood,1
and okra,chinese,1
and olive,bars,2
and olive,italian,2
and olive,pizza,2
and onion,asianfusion,2
and onion,bbq,3
and onion,breakfast_brunch,1
and onion,cantonese,1
and onion,chinese,19
and onion,chinese,4
and onion,coffee,1
and onion,desserts,1
and onion,dimsum,5
and onion,mediterranean,1
and onion,mideastern,1
and onion,noodles,2
and onion,salad,1
and onion,seafood,1
and onion,steak,1
and onion,taiwanese,1
and onion,tradamerican,2
and onions,chinese,2
and orange,chinese,2
and ox,szechuan,1
and ox,szechuan,1
and oyster,chinese,1
and oyster,dimsum,1
and oysters,cantonese,1
and oysters,dimsum,1
and oysters,seafood,1
and pamelo,chinese,1
and papaya,cantonese,1
and papaya,chinese,2
and papaya,dimsum,1
and papaya,seafood,1
and parmesan,italian,1
and parmesan,seafood,1
and pasta,pizza,1
and pea,cantonese,1
and pea,dimsum,1
and pea,seafood,1
and peach,noodles,1
and peach,vietnamese,1
and peaches,tradamerican,1
and peanut,chinese,1
and peanuts,bbq,2
and peanuts,chinese,5
and peapod,chinese,1
and peapod,dimsum,1
and peas,chinese,1
and pecan,cantonese,1
and pecan,dimsum,1
and pepper,asianfusion,7
and pepper,bubbletea,2
and pepper,cajun,3
and pepper,cantonese,28
and pepper,cantonese,5
and pepper,chinese,109
and pepper,chinese,11
and pepper,coffee,8
and pepper,dimsum,43
and pepper,dimsum,5
and pepper,juicebars,2
and pepper,newamerican,1
and pepper,noodles,5
and pepper,noodles,3
and pepper,seafood,34
and pepper,seafood,5
and pepper,shavedice,2
and pepper,sushi,3
and pepper,szechuan,14
and pepper,taiwanese,10
and pepperoni,bars,2
and pepperoni,italian,2
and pepperoni,pizza,2
and peppers,bars,1
and peppers,bars,1
and peppers,delis,1
and peppers,italian,3
and peppers,italian,1
and peppers,pizza,2
and peppers,pizza,1
and peppers,venues,1
and phoenix,chinese,1
and phoenix,szechuan,1
and pickled,bbq,1
and pickled,cantonese,1
and pickled,chinese,7
and pickled,chinese,2
and pickled,dimsum,1
and pickled,noodles,2
and pickled,seafood,1
and pickled,sushi,1
and pickles,chinese,2
and pig,chinese,3
and pine,chinese,2
and pine,szechuan,1
and pineapple,cantonese,2
and pineapple,chinese,7
and pineapple,coffee,1
and pineapple,dimsum,1
and pineapple,seafood,2
and pineapple,senegalese,1
and pineapple,taiwanese,1
and poblano,bars,1
and poblano,tacos,1
and pomegranate,breakfast_brunch,1
and pomegranate,pubs,1
and pomegranate,tradamerican,1
and pork,asianfusion,7
and pork,bbq,6
and pork,bbq,1
and pork,bubbletea,2
and pork,cantonese,2
and pork,chinese,53
and pork,chinese,1
and pork,dimsum,5
and pork,juicebars,5
and pork,korean,1
and pork,korean,1
and pork,noodles,1
and pork,noodles,3
and pork,panasian,3
and pork,seafood,6
and pork,shavedice,2
and pork,szechuan,9
and pork,taiwanese,2
and pork,tapasmallplates,1
and preserved,asianfusion,2
and preserved,bbq,1
and preserved,cantonese,1
and preserved,chinese,11
and preserved,dimsum,1
and preserved,juicebars,1
and preserved,seafood,2
and prosciutto,bars,1
and prosciutto,italian,1
and prosciutto,pizza,1
and proteins,chinese,1
and proteins,tapasmallplates,1
and provolone,italian,2
and provolone,pizza,2
and pull,cantonese,1
and pull,dimsum,1
and pull,seafood,1
and pumpkin,dimsum,1
and pumpkin,seafood,1
and purple,bbq,1
and purple,chinese,1
and quail,chinese,1
and radicchio,bars,1
and radicchio,tradamerican,1
and radish,chinese,1
and radish,chinese,1
and rapini,bars,1
and rapini,italian,1
and rapini,pizza,1
and red,chinese,3
and red,italian,1
and red,noodles,1
and red,panasian,1
and red,pizza,1
and rice,asianfusion,1
and rice,bars,1
and rice,breakfast_brunch,1
and rice,cajun,2
and rice,cantonese,1
and rice,caribbean,1
and rice,chicken_wings,1
and rice,chinese,10
and rice,dimsum,1
and rice,hotdogs,1
and rice,indpak,2
and rice,italian,2
and rice,mexican,1
and rice,newamerican,1
and rice,sandwiches,1
and rice,seafood,1
and rice,seafood,1
and rice,szechuan,1
and rice,tradamerican,1
and roasted,bbq,1
and roasted,beergardens,1
and roasted,chinese,1
and roasted,coffee,1
and roasted,newamerican,1
and roasted,newamerican,1
and roll,asianfusion,1
and roll,chinese,1
and rolls,chinese,4
and rolls,sushi,4
and sago,chinese,2
and salad,diners,1
and salad,mexican,1
and salad,newamerican,1
and salad,pizza,3
and salmon,chinese,1
and salmon,sushi,1
and salsa,bars,1
and salsa,mexican,3
and salsa,tacos,1
and salt,chinese,3
and salt,coffee,2
